Instruction Name,Opcode,Instruction,64-bit validity,32-bit validity,CpuId Flags
AAA,37,AAA,I,V,
AAD,D5 0A,AAD,I,V,
AAD,D5 /ib,AAD imm8,I,V,
AAM,D4 0A,AAM,I,V,
AAM,D4 /ib,AAM imm8,I,V,
AAS,3F,AAS,I,V,
ADC,14 /ib,"ADC AL, imm8",V,V,
ADC,15 iw,"ADC AX, imm16",V,V,
ADC,15 id,"ADC EAX, imm32",V,V,
ADC,REX.W 15 id,"ADC RAX, imm32",V,N.E.,
ADC,80 /2 /ib,"ADC r/m8 , imm8",V,V,
ADC,REX 80 /2 /ib,"ADC r/m8 , imm8",V,N.E.,
ADC,81 /2 iw,"ADC r/m16, imm16",V,V,
ADC,81 /2 id,"ADC r/m32, imm32",V,V,
ADC,REX.W 81 /2 id,"ADC r/m64, imm32",V,N.E.,
ADC,83 /2 /ib,"ADC r/m16, imm8",V,V,
ADC,83 /2 /ib,"ADC r/m32, imm8",V,V,
ADC,REX.W 83 /2 /ib,"ADC r/m64, imm8",V,N.E.,
ADC,10 /r,"ADC r/m8, r8",V,V,
ADC,REX 10 /r,"ADC r/m8 , r8",V,N.E.,
ADC,11 /r,"ADC r/m16, r16",V,V,
ADC,11 /r,"ADC r/m32, r32",V,V,
ADC,REX.W 11 /r,"ADC r/m64, r64",V,N.E.,
ADC,12 /r,"ADC r8, r/m8",V,V,
ADC,REX 12 /r,"ADC r8 , r/m8",V,N.E.,
ADC,13 /r,"ADC r16, r/m16",V,V,
ADC,13 /r,"ADC r32, r/m32",V,V,
ADC,REX.W 13 /r,"ADC r64, r/m64",V,N.E.,
ADCX,66 0F 38 F6 /r,"ADCX r32, r/m32",V,V,ADX
ADCX,66 REX.w 0F 38 F6 /r,"ADCX r64, r/m64",V,N.E.,ADX
ADD,04 /ib,"ADD AL, imm8",V,V,
ADD,05 iw,"ADD AX, imm16",V,V,
ADD,05 id,"ADD EAX, imm32",V,V,
ADD,REX.W 05 id,"ADD RAX, imm32",V,N.E.,
ADD,80 /0 /ib,"ADD r/m8, imm8",V,V,
ADD,REX 80 /0 /ib,"ADD r/m8 , imm8",V,N.E.,
ADD,81 /0 iw,"ADD r/m16, imm16",V,V,
ADD,81 /0 id,"ADD r/m32, imm32",V,V,
ADD,REX.W 81 /0 id,"ADD r/m64, imm32",V,N.E.,
ADD,83 /0 /ib,"ADD r/m16, imm8",V,V,
ADD,83 /0 /ib,"ADD r/m32, imm8",V,V,
ADD,REX.W 83 /0 /ib,"ADD r/m64, imm8",V,N.E.,
ADD,00 /r,"ADD r/m8, r8",V,V,
ADD,REX 00 /r,"ADD r/m8 , r8",V,N.E.,
ADD,01 /r,"ADD r/m16, r16",V,V,
ADD,01 /r,"ADD r/m32, r32",V,V,
ADD,REX.W 01 /r,"ADD r/m64, r64",V,N.E.,
ADD,02 /r,"ADD r8, r/m8",V,V,
ADD,REX 02 /r,"ADD r8 , r/m8",V,N.E.,
ADD,03 /r,"ADD r16, r/m16",V,V,
ADD,03 /r,"ADD r32, r/m32",V,V,
ADD,REX.W 03 /r,"ADD r64, r/m64",V,N.E.,
ADDPD,66 0F 58 /r,"ADDPD xmm1, xmm2/m128",V,V,SSE2
VADDPD,VEX.128.66.0F.WIG 58 /r,"VADDPD xmm1,xmm2, xmm3/m128",V,V,AVX
VADDPD,VEX.256.66.0F.WIG 58 /r,"VADDPD ymm1, ymm2, ymm3/m256",V,V,AVX
VADDPD,EVEX.128.66.0F.W1 58 /r,"VADDPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VADDPD,EVEX.256.66.0F.W1 58 /r,"VADDPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VADDPD,EVEX.512.66.0F.W1 58 /r,"VADDPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{er}",V,V,AVX512F
ADDPS,NP 0F 58 /r,"ADDPS xmm1, xmm2/m128",V,V,SSE
VADDPS,VEX.128.0F.WIG 58 /r,"VADDPS xmm1,xmm2, xmm3/m128",V,V,AVX
VADDPS,VEX.256.0F.WIG 58 /r,"VADDPS ymm1, ymm2, ymm3/m256",V,V,AVX
VADDPS,EVEX.128.0F.W0 58 /r,"VADDPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VADDPS,EVEX.256.0F.W0 58 /r,"VADDPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VADDPS,EVEX.512.0F.W0 58 /r,"VADDPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst {er}",V,V,AVX512F
ADDSD,F2 0F 58 /r,"ADDSD xmm1, xmm2/m64",V,V,SSE2
VADDSD,VEX.LIG.F2.0F.WIG 58 /r,"VADDSD xmm1, xmm2, xmm3/m64",V,V,AVX
VADDSD,EVEX.LIG.F2.0F.W1 58 /r,"VADDSD xmm1 {k1}{z}, xmm2, xmm3/m64{er}",V,V,AVX512F
ADDSS,F3 0F 58 /r,"ADDSS xmm1, xmm2/m32",V,V,SSE
VADDSS,VEX.LIG.F3.0F.WIG 58 /r,"VADDSS xmm1,xmm2, xmm3/m32",V,V,AVX
VADDSS,EVEX.LIG.F3.0F.W0 58 /r,"VADDSS xmm1{k1}{z}, xmm2, xmm3/m32{er}",V,V,AVX512F
ADDSUBPD,66 0F D0 /r,"ADDSUBPD xmm1 , xmm2/m128",V,V,SSE3
VADDSUBPD,VEX.128.66.0F.WIG D0 /r,"VADDSUBPD xmm1, xmm2, xmm3/m128",V,V,AVX
VADDSUBPD,VEX.256.66.0F.WIG D0 /r,"VADDSUBPD ymm1, ymm2, ymm3/m256",V,V,AVX
ADDSUBPS,F2 0F D0 /r,"ADDSUBPS xmm1 , xmm2/m128",V,V,SSE3
VADDSUBPS,VEX.128.F2.0F.WIG D0 /r,"VADDSUBPS xmm1, xmm2, xmm3/m128",V,V,AVX
VADDSUBPS,VEX.256.F2.0F.WIG D0 /r,"VADDSUBPS ymm1, ymm2, ymm3/m256",V,V,AVX
ADOX,F3 0F 38 F6 /r,"ADOX r32, r/m32",V,V,ADX
ADOX,F3 REX.w 0F 38 F6 /r,"ADOX r64, r/m64",V,N.E.,ADX
AESDEC,66 0F 38 DE /r,"AESDEC xmm1, xmm2/m128",V,V,AES
VAESDEC,VEX.128.66.0F38.WIG DE /r,"VAESDEC xmm1, xmm2, xmm3/m128",V,V,AES|AVX
AESDECLAST,66 0F 38 DF /r,"AESDECLAST xmm1, xmm2/m128",V,V,AES
VAESDECLAST,VEX.128.66.0F38.WIG DF /r,"VAESDECLAST xmm1, xmm2, xmm3/m128",V,V,AES|AVX
AESENC,66 0F 38 DC /r,"AESENC xmm1, xmm2/m128",V,V,AES
VAESENC,VEX.128.66.0F38.WIG DC /r,"VAESENC xmm1, xmm2, xmm3/m128",V,V,AES|AVX
AESENCLAST,66 0F 38 DD /r,"AESENCLAST xmm1, xmm2/m128",V,V,AES
VAESENCLAST,VEX.128.66.0F38.WIG DD /r,"VAESENCLAST xmm1, xmm2, xmm3/m128",V,V,AES|AVX
AESIMC,66 0F 38 DB /r,"AESIMC xmm1, xmm2/m128",V,V,AES
VAESIMC,VEX.128.66.0F38.WIG DB /r,"VAESIMC xmm1, xmm2/m128",V,V,AES|AVX
AESKEYGENASSIST,66 0F 3A DF /r /ib,"AESKEYGENASSIST xmm1, xmm2/m128, imm8",V,V,AES
VAESKEYGENASSIST,VEX.128.66.0F3A.WIG DF /r /ib,"VAESKEYGENASSIST xmm1, xmm2/m128, imm8",V,V,AES|AVX
AND,24 /ib,"AND AL, imm8",V,V,
AND,25 iw,"AND AX, imm16",V,V,
AND,25 id,"AND EAX, imm32",V,V,
AND,REX.W 25 id,"AND RAX, imm32",V,N.E.,
AND,80 /4 /ib,"AND r/m8, imm8",V,V,
AND,REX 80 /4 /ib,"AND r/m8 , imm8",V,N.E.,
AND,81 /4 iw,"AND r/m16, imm16",V,V,
AND,81 /4 id,"AND r/m32, imm32",V,V,
AND,REX.W 81 /4 id,"AND r/m64, imm32",V,N.E.,
AND,83 /4 /ib,"AND r/m16, imm8",V,V,
AND,83 /4 /ib,"AND r/m32, imm8",V,V,
AND,REX.W 83 /4 /ib,"AND r/m64, imm8",V,N.E.,
AND,20 /r,"AND r/m8, r8",V,V,
AND,REX 20 /r,"AND r/m8 , r8",V,N.E.,
AND,21 /r,"AND r/m16, r16",V,V,
AND,21 /r,"AND r/m32, r32",V,V,
AND,REX.W 21 /r,"AND r/m64, r64",V,N.E.,
AND,22 /r,"AND r8, r/m8",V,V,
AND,REX 22 /r,"AND r8 , r/m8",V,N.E.,
AND,23 /r,"AND r16, r/m16",V,V,
AND,23 /r,"AND r32, r/m32",V,V,
AND,REX.W 23 /r,"AND r64, r/m64",V,N.E.,
ANDN,VEX.LZ.0F38.W0 F2 /r,"ANDN r32a, r32b, r/m32",V,V,BMI1
ANDN,VEX.LZ.0F38.W1 F2 /r,"ANDN r64a, r64b, r/m64",V,N.E.,BMI1
ANDPD,66 0F 54 /r,"ANDPD xmm1, xmm2/m128",V,V,SSE2
VANDPD,VEX.128.66.0F 54 /r,"VANDPD xmm1, xmm2, xmm3/m128",V,V,AVX
VANDPD,VEX.256.66.0F 54 /r,"VANDPD ymm1, ymm2, ymm3/m256",V,V,AVX
VANDPD,EVEX.128.66.0F.W1 54 /r,"VANDPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512DQ
